| Fila | Origen            | Cálculo                     | Pasos                                                     | Enero      | Febrero    | Marzo      | Abril      | Mayo       | Junio      | Julio      | Agosto     | Septiembre | Octubre    | Noviembre  | Diciembre  |
|------|-------------------|-----------------------------|-----------------------------------------------------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|
| 32   | Base de Datos     |                             | Ingreso Ordinario Neto Acumulado                           | -          | 24,180.00  | 47,895.00  | 71,145.00  | 94,395.00  | 117,645.00 | 141,825.00 | 165,075.00 | 190,185.00 | 213,435.00 | 236,685.00 | 259,935.00 |
| 33   | Base de Datos     |                             | Ingreso Ocacional Neto Acumulado                           | -          | 930.00     | 930.00     | 930.00     | 930.00     | 930.00     | 1,860.00   | 1,860.00   | 1,860.00   | 1,860.00   | 15,810.00  | 15,810.00  |
| 35   | Planilla Actual   |                             | Salario Ordinario                                          | 25,000.00  | 25,000.00  | 25,000.00  | 25,000.00  | 25,000.00  | 25,000.00  | 25,000.00  | 25,000.00  | 25,000.00  | 25,000.00  | 25,000.00  | 25,000.00  |
| 36   | Planilla Actual   |                             | Horas Extra                                                | -          | 500.00     | -          | -          | -          | 1,000.00   | -          | -          | -          | -          | -          | -          |
| 37   | Planilla Actual   |                             | Comisiones                                                 | 1,000.00   | -          | -          | -          | -          | -          | -          | 2,000.00   | -          | -          | -          | -          |
| 38   | Calculado         | =SUMA(E35:E37)              | Total Ingreso Ordinario                                    | 26,000.00  | 25,500.00  | 25,000.00  | 25,000.00  | 25,000.00  | 26,000.00  | 25,000.00  | 27,000.00  | 25,000.00  | 25,000.00  | 25,000.00  | 25,000.00  |
| 40   | Planilla Actual   |                             | Bonos                                                      | -          | -          | -          | -          | -          | -          | -          | -          | -          | 15,000.00  | -          | -          |
| 41   | Planilla Actual   |                             | Incentivos                                                 | 1,000.00   | -          | -          | -          | -          | 1,000.00   | -          | -          | -          | -          | -          | -          |
| 42   | Calculado         | =E40+E41                    | Total Ingreso Ocacional                                    | 1,000.00   | -          | -          | -          | -          | 1,000.00   | -          | -          | -          | 15,000.00  | -          | -          |
| 44   | Calculado         | =E38*7%                     | INSS Laboral Ingreso Ordinario                              | 1,820.00   | 1,785.00   | 1,750.00   | 1,750.00   | 1,750.00   | 1,820.00   | 1,750.00   | 1,890.00   | 1,750.00   | 1,750.00   | 1,750.00   | 1,750.00   |
| 45   | Calculado         | =E42*7%                     | INSS Laboral Ingreso Ocacional                              | 70.00      | -          | -          | -          | -          | 70.00      | -          | -          | -          | 1,050.00   | -          | -          |
