| Mes | Ordinario | Horas Extra | Comisiones | Ingreso Ordinario | Bonos | Incentivo | Ocasional | Ingresos Gravables mensuales | INSS Laboral por Salario | INSS Laboral Ingresos Eventuales | Retención INSS Total | Salario mensual Neto | Salario Acumulado | Total Ingreso Acumulado | Meses Transcurridos | Salario Promedio mensual | Meses del Año | Expectativa Anual por Salarios | Ingresos Eventuales Netos | Expectativa Anual por Ingresos Eventuales | Impuesto Anual por Salarios | Impuesto Anual (Incluyendo Ingresos Eventuales) | IR Ingreso Eventual | Entre 12 Coeficiente | Por Meses Laborados | IR Total por Salarios | Retención Acumulada por Salarios | Retención del Mes por Salarios | Retención IR Total |
|-----|-----------|-------------|-------------|-------------------|-------|-----------|-----------|------------------------------|--------------------------|----------------------------------|----------------------|-----------------------|-------------------|--------------------------|---------------------|--------------------------|---------------|-------------------------------|----------------------------|-------------------------------------------|------------------------------|------------------------------------------------|---------------------|----------------------|----------------------|------------------------|----------------------------------|-----------------------------|--------------------|
| 1   | 25,000.00 | -           | 1,000.00   | 26,000.00         | -     | 1,000.00 | 1,000.00 | 27,000.00                   | 1,820.00                 | 70.00                            | 1,890.00             | 24,180.00             | 24,180.00         | 25,110.00               | 1                   | 24,180.00                | 12            | 290,160.00                    | 930.00                     | 291,090.00                               | 33,032.00                    | 33,218.00                                      | 186.00              | 2,752.67             | 1                    | 2,752.67               | -                                | 2,752.67                    | 2,938.67           |
| 2   | 25,000.00 | 500.00      | -           | 25,500.00         | -     | -         | -         | 25,500.00                   | 1,785.00                 | -                                | 1,785.00             | 23,715.00             | 47,895.00         | 48,825.00               | 2                   | 23,947.50                | 12            | 287,370.00                    | -                          | 287,370.00                               | 32,474.00                    | 32,474.00                                      | -                   | 2,706.17             | 2                    | 5,412.33               | 2,752.67                        | 2,659.67                    | 2,659.67           |
| 3   | 25,000.00 | -           | -           | 25,000.00         | -     | -         | -         | 25,000.00                   | 1,750.00                 | -                                | 1,750.00             | 23,250.00             | 71,145.00         | 72,075.00               | 3                   | 23,715.00                | 12            | 284,580.00                    | -                          | 284,580.00                               | 31,916.00                    | 31,916.00                                      | -                   | 2,659.67             | 3                    | 7,979.00               | 5,412.33                        | 2,566.67                    | 2,566.67           |
| 4   | 25,000.00 | -           | -           | 25,000.00         | -     | -         | -         | 25,000.00                   | 1,750.00                 | -                                | 1,750.00             | 23,250.00             | 94,395.00         | 95,325.00               | 4                   | 23,598.75                | 12            | 283,185.00                    | -                          | 283,185.00                               | 31,637.00                    | 31,637.00                                      | -                   | 2,636.42             | 4                    | 10,545.67              | 7,979.00                        | 2,566.67                    | 2,566.67           |
| 5   | 25,000.00 | -           | -           | 25,000.00         | -     | -         | -         | 25,000.00                   | 1,750.00                 | -                                | 1,750.00             | 23,250.00             | 117,645.00        | 118,575.00              | 5                   | 23,529.00                | 12            | 282,348.00                    | -                          | 282,348.00                               | 31,469.60                    | 31,469.60                                      | -                   | 2,622.47             | 5                    | 13,112.33              | 10,545.67                       | 2,566.67                    | 2,566.67           |
| 6   | 25,000.00 | 1,000.00    | -           | 26,000.00         | -     | 1,000.00 | 1,000.00 | 27,000.00                   | 1,820.00                 | 70.00                            | 1,890.00             | 24,180.00             | 141,825.00        | 143,685.00              | 6                   | 23,637.50                | 12            | 283,650.00                    | 930.00                     | 284,580.00                               | 31,730.00                    | 31,916.00                                      | 186.00              | 2,644.17             | 6                    | 15,865.00              | 13,112.33                       | 2,752.67                    | 2,938.67           |
| 7   | 25,000.00 | -           | -           | 25,000.00         | -     | -         | -         | 25,000.00                   | 1,750.00                 | -                                | 1,750.00             | 23,250.00             | 165,075.00        | 166,935.00              | 7                   | 23,582.14                | 12            | 282,985.71                    | -                          | 282,985.71                               | 31,597.14                    | 31,597.14                                      | -                   | 2,633.10             | 7                    | 18,431.67              | 15,865.00                       | 2,566.67                    | 2,566.67           |
| 8   | 25,000.00 | -           | 2,000.00   | 27,000.00         | -     | -         | -         | 27,000.00                   | 1,890.00                 | -                                | 1,890.00             | 25,110.00             | 190,185.00        | 192,045.00              | 8                   | 23,773.13                | 12            | 285,277.50                    | -                          | 285,277.50                               | 32,055.50                    | 32,055.50                                      | -                   | 2,671.29             | 8                    | 21,370.33              | 18,431.67                       | 2,938.67                    | 2,938.67           |
| 9   | 25,000.00 | -           | -           | 25,000.00         | -     | -         | -         | 25,000.00                   | 1,750.00                 | -                                | 1,750.00             | 23,250.00             | 213,435.00        | 215,295.00              | 9                   | 23,715.00                | 12            | 284,580.00                    | -                          | 284,580.00                               | 31,916.00                    | 31,916.00                                      | -                   | 2,659.67             | 9                    | 23,937.00              | 21,370.33                       | 2,566.67                    | 2,566.67           |
| 10  | 25,000.00 | -           | -           | 25,000.00         | 15,000.00 | -     | 15,000.00 | 40,000.00                   | 1,750.00                 | 1,050.00                         | 2,800.00             | 23,250.00             | 236,685.00        | 252,495.00              | 10                  | 23,668.50                | 12            | 284,022.00                    | 13,950.00                  | 297,972.00                               | 31,804.40                    | 34,594.40                                      | 2,790.00            | 2,650.37             | 10                   | 26,503.67              | 23,937.00                       | 2,566.67                    | 5,356.67           |
| 11  | 25,000.00 | -           | -           | 25,000.00         | -     | -         | -         | 25,000.00                   | 1,750.00                 | -                                | 1,750.00             | 23,250.00             | 259,935.00        | 275,745.00              | 11                  | 23,630.45                | 12            | 283,565.45                    | -                          | 283,565.45                               | 31,713.09                    | 31,713.09                                      | -                   | 2,642.76             | 11                   | 29,070.33              | 26,503.67                       | 2,566.67                    | 2,566.67           |
| 12  | 25,000.00 | -           | -           | 25,000.00         | -     | -         | -         | 25,000.00                   | 1,750.00                 | -                                | 1,750.00             | 23,250.00             | 283,185.00        | 298,995.00              | 12                  | 23,598.75                | 12            | 283,185.00                    | -                          | 283,185.00                               | 31,637.00                    | 31,637.00                                      | -                   | 2,636.42             | 12                   | 31,637.00              | 29,070.33                       | 2,566.67                    | 2,566.67           |
| -   | 300,000.00 | 1,500.00   | 3,000.00   | 304,500.00        | 15,000.00 | 2,000.00 | 17,000.00 | 321,500.00                  | 21,315.00                | 1,190.00                         | 22,505.00            | 283,185.00             | -                 | -                        | -                   | -                        | -             | -                             | 15,810.00                  | -                                         | 31,637.00                    | 34,799.00                                      | -                   | -                    | -                    | -                      | -                                | -                           | -                  |

